City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Maceio,BR,2021-12-25 06:06:53,-9.6658,-35.7353,80.04,83,0,11.5
68,Esperance,AU,2021-12-25 06:06:53,-33.8667,121.9,73.96,61,0,24.05
69,Souillac,MU,2021-12-25 06:02:16,-20.5167,57.5167,84.36,65,99,5.08
70,Avarua,CK,2021-12-25 06:03:59,-21.2078,-159.775,78.85,94,40,11.5
71,Saint George,US,2021-12-25 06:04:31,37.1041,-113.5841,52.39,64,90,1.01
72,Tuktoyaktuk,CA,2021-12-25 06:06:53,69.4541,-133.0374,-13.04,97,100,6.13
73,Cockburn Town,TC,2021-12-25 06:02:30,21.4612,-71.1419,77.9,73,5,18.03
74,Danielskuil,ZA,2021-12-25 06:06:54,-28.1887,23.5395,72.07,37,0,16.55
75,Mayor Pablo Lagerenza,PY,2021-12-25 06:06:54,-19.9309,-60.7718,73.49,63,32,5.44
76,Bethal,ZA,2021-12-25 06:06:55,-26.4579,29.4655,66.54,64,69,4.83
77,Pokhara,NP,2021-12-25 06:06:55,28.2333,83.9833,63.19,40,31,6.67
78,Hobart,AU,2021-12-25 06:02:31,-42.8794,147.3294,74.12,35,0,4.0
79,Orotukan,RU,2021-12-25 06:06:56,62.2667,151.7,-23.55,100,100,3.29
80,Hue,VN,2021-12-25 06:06:56,16.4667,107.6,71.71,100,75,2.3
81,Semnan,IR,2021-12-25 06:06:56,35.5729,53.3971,41.97,50,1,3.69
82,Georgetown,MY,2021-12-25 06:06:57,5.4112,100.3354,89.53,73,20,5.75
83,Berlevag,NO,2021-12-25 06:06:57,70.8578,29.0864,27.84,79,100,21.97
84,Teguldet,RU,2021-12-25 06:06:57,57.3064,88.1667,15.3,97,100,3.27
85,Kassala,SD,2021-12-25 06:06:58,15.451,36.4,72.09,74,0,9.82
86,Staryy Nadym,RU,2021-12-25 06:06:58,65.6118,72.6842,3.67,92,100,23.49
87,Geraldton,AU,2021-12-25 06:06:58,-28.7667,114.6,115.21,9,0,17.27
88,Katsuura,JP,2021-12-25 06:06:59,35.1333,140.3,58.1,64,73,8.3
89,Tiksi,RU,2021-12-25 06:04:32,71.6872,128.8694,-17.91,98,93,3.33
90,Bredasdorp,ZA,2021-12-25 06:06:59,-34.5322,20.0403,67.28,77,97,17.11
91,Paragominas,BR,2021-12-25 06:08:00,-2.9667,-47.4833,72.14,98,100,2.68
92,Vila Do Maio,CV,2021-12-25 06:08:00,15.1333,-23.2167,72.39,71,98,15.5
93,Yaan,NG,2021-12-25 06:08:01,7.3833,8.5667,73.81,29,65,4.99
94,Kavieng,PG,2021-12-25 06:08:01,-2.5744,150.7967,84.38,76,89,10.29
95,Namasuba,UG,2021-12-25 06:08:01,0.6894,32.4214,67.14,92,98,1.57
96,Saint Anthony,US,2021-12-25 06:08:02,45.0205,-93.218,31.93,69,1,5.99
97,Baykit,RU,2021-12-25 06:08:02,61.67,96.37,-6.14,87,60,1.23
98,Halifax,CA,2021-12-25 06:04:03,44.6453,-63.5724,24.22,54,2,11.99
99,Scottsbluff,US,2021-12-25 06:08:03,41.8666,-103.6672,40.78,55,1,8.99
100,Tessalit,ML,2021-12-25 06:08:03,20.1986,1.0114,63.52,18,100,9.48
101,Thompson,CA,2021-12-25 06:03:21,55.7435,-97.8558,-5.51,95,99,9.01
102,Praia Da Vitoria,PT,2021-12-25 06:08:04,38.7333,-27.0667,64.76,96,98,22.7
103,Agadez,NE,2021-12-25 06:08:04,19.75,10.25,54.66,28,100,8.48
104,Yangambi,CD,2021-12-25 06:08:04,0.8102,24.4336,71.87,96,100,2.95
105,Jalu,LY,2021-12-25 06:08:05,29.0331,21.5482,52.07,66,5,5.64
106,Puquio,PE,2021-12-25 06:08:05,-14.7,-74.1333,49.68,75,99,2.21
107,Yumen,CN,2021-12-25 06:08:05,40.2833,97.2,17.04,59,19,24.23
108,Karlskoga,SE,2021-12-25 06:08:06,59.3267,14.5239,22.06,70,29,7.83
109,Benemerito De Las Americas,MX,2021-12-25 06:08:06,16.5167,-90.6439,63.0,99,9,1.68
110,Cidreira,BR,2021-12-25 06:08:06,-30.1811,-50.2056,69.73,80,16,16.8
