City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
187,Kieta,PG,81.21,moderate rain,-6.2167,155.6333,Uruna Bay Retreat
189,Faanui,PF,81.68,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
190,Bubaque,GW,78.71,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
196,Amlagora,IN,79.03,clear sky,22.8333,87.3333,Mohul Guest House
201,Cordoba,AR,75.76,clear sky,-31.4135,-64.1811,Hotel Sussex
204,Alofi,NU,76.89,broken clouds,-19.0595,-169.9187,Taloa Heights
206,Maceio,BR,80.04,clear sky,-9.6658,-35.7353,Poutur Pousada
208,Mossendjo,CG,82.11,few clouds,-2.9506,12.7261,HOTEL D'ASSISE
215,Sabang,ID,81.39,clear sky,5.8933,95.3214,Hotel Citra
219,Santiago,CL,72.86,clear sky,-33.4569,-70.6483,Che Lagarto Hostel Santiago
224,Abeche,TD,75.22,clear sky,13.8292,20.8324,Assaleh Hamdan Haroune
234,Ghatal,IN,79.74,clear sky,22.6667,87.7167,Mongal Bhawan
235,Sambava,MG,88.03,overcast clouds,-14.2667,50.1667,Melrose
237,Tadine,NC,78.69,clear sky,-21.55,167.8833,
240,Kisangani,CD,80.96,light rain,0.5167,25.2,Grand Ramela Hotel
245,Metro,ID,78.93,overcast clouds,-5.1131,105.3067,OYO 3177 Wisma Lintang
250,Kloulklubed,PW,82.9,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
252,Kavaratti,IN,81.63,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
261,Sola,VU,81.45,broken clouds,-13.8833,167.55,Leumerus Bungalows
265,Biak,ID,82.45,overcast clouds,-0.9131,122.8766,Penginapan Kim
266,Quatre Cocos,MU,89.71,overcast clouds,-20.2078,57.7625,Sunrise Attitude Hotel
269,Yenagoa,NG,86.41,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
273,Gamba,GA,81.7,few clouds,-2.65,10.0,
275,Acapulco,MX,75.4,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
277,Buchanan,LR,78.76,broken clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
278,San Patricio,US,71.46,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
280,Nguruka,TZ,77.67,light rain,-5.1092,31.0419,RUSULI LODGE
282,Casino,AU,73.22,light rain,-28.8667,153.05,Squatters Homestead Motel
284,Xapuri,BR,72.39,scattered clouds,-10.6517,-68.5044,Pousada dos Chapurys
285,Byron Bay,AU,73.36,light rain,-28.65,153.6167,Backpackers Inn
292,Dwarka,IN,76.87,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
294,Timbiqui,CO,74.14,light rain,2.7717,-77.6654,hotel diana
295,Umm Lajj,SA,72.99,clear sky,25.0213,37.2685,Moon light Furnished Units
